"family","standardizer","detector","type","gamma","weight_name","bandwidth_h","omega_name","hset_name","scale_weight_name","method_group","method_label","method_id","alpha","statistic","critical_value","reject","first_rejection","T_value","T_label","q_used","m_train","training_start","training_end","monitoring_start","monitoring_end","first_rejection_date","trading_gap_from_2020_03_16","calendar_gap_from_2020_03_16","stat_over_cv","method_display"
"Benchmark","SSMS","FullCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","SSMS FullCUSUM (gamma=0)","ssms_fullcusum_gamma_0",0.05,21.8756772679331,205.26098489398,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.106574940577393,"SSMS, KS, gamma=0.00"
"Benchmark","SSMS","PageCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","SSMS PageCUSUM (gamma=0)","ssms_pagecusum_gamma_0",0.05,82.4464574029882,236.965942056172,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.347925346096548,"SSMS, KS, gamma=0.00"
"Benchmark","SSMS","FullCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","SSMS FullCUSUM (gamma=0.15)","ssms_fullcusum_gamma_0_15",0.05,26.0123129805492,245.080229000831,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.106137949546559,"SSMS, KS, gamma=0.15"
"Benchmark","SSMS","PageCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","SSMS PageCUSUM (gamma=0.15)","ssms_pagecusum_gamma_0_15",0.05,150.846021526547,304.20125804142,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.495875732065537,"SSMS, KS, gamma=0.15"
"Benchmark","SSMS","MOSUM","KS",NA,"",0.1,"","","","Benchmark_MOSUM","SSMS MOSUM (h=0.1)","ssms_mosum_h_0_1",0.05,1851.96602714869,1641.62313585956,TRUE,55,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-03-20,4,4,1.12813104706824,"SSMS, KS, gamma=NA"
"Benchmark","SSMS","MOSUM","KS",NA,"",0.2,"","","","Benchmark_MOSUM","SSMS MOSUM (h=0.2)","ssms_mosum_h_0_2",0.05,1070.39069017326,1481.80463430385,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.722356149652702,"SSMS, KS, gamma=NA"
"Benchmark","SSMS","WeightedCUSUM","KS",0,"",NA,"InvSqrt","","","Benchmark_CUSUM","SSMS WeightedCUSUM (gamma=0, InvSqrt)","ssms_weightedcusum_gamma_0_invsqrt",0.05,283.799653155073,318.916792604034,FALSE,NA,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,NA,NA,NA,0.889886201468975,"SSMS, KS, gamma=0.00"
"Benchmark","SSMS","WeightedCUSUM","KS",0.15,"",NA,"InvSqrt","","","Benchmark_CUSUM","SSMS WeightedCUSUM (gamma=0.15, InvSqrt)","ssms_weightedcusum_gamma_0_15_invsqrt",0.05,754.230107632733,589.224527113625,TRUE,52,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-03-17,1,1,1.2800385471518,"SSMS, KS, gamma=0.15"
"Benchmark","SSMS","MultiscaleMOSUM","KS",NA,"",NA,"","H050_100_200","Equal","Benchmark_MOSUM","SSMS MultiscaleMOSUM (H050_100_200, Equal)","ssms_multiscalemosum_h050_100_200_equal",0.05,2220.73827621949,1735.35932224838,TRUE,52,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-03-17,1,1,1.2796993958244,"SSMS, KS, gamma=NA"
"Benchmark","RSMS","FullCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","RSMS FullCUSUM (gamma=0)","rsms_fullcusum_gamma_0",0.05,19.9344811322063,5.95489938022862,TRUE,39,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-27,-12,-18,3.34757648439746,"RSMS, KS, gamma=0.00"
"Benchmark","RSMS","PageCUSUM","KS",0,"",NA,"","","","Benchmark_CUSUM","RSMS PageCUSUM (gamma=0)","rsms_pagecusum_gamma_0",0.05,70.675608801769,6.54437337623738,TRUE,39,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-27,-12,-18,10.7994462935737,"RSMS, KS, gamma=0.00"
"Benchmark","RSMS","FullCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","RSMS FullCUSUM (gamma=0.15)","rsms_fullcusum_gamma_0_15",0.05,23.704041523593,7.02228813631731,TRUE,39,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-27,-12,-18,3.37554384887773,"RSMS, KS, gamma=0.15"
"Benchmark","RSMS","PageCUSUM","KS",0.15,"",NA,"","","","Benchmark_CUSUM","RSMS PageCUSUM (gamma=0.15)","rsms_pagecusum_gamma_0_15",0.05,136.021384599918,8.16166130784747,TRUE,38,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-26,-13,-19,16.6658942915375,"RSMS, KS, gamma=0.15"
"Benchmark","RSMS","MOSUM","KS",NA,"",0.1,"","","","Benchmark_MOSUM","RSMS MOSUM (h=0.1)","rsms_mosum_h_0_1",0.05,2271.15189529035,40.8281082923582,TRUE,39,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-02-27,-12,-18,55.6271644776508,"RSMS, KS, gamma=NA"
"Benchmark","RSMS","MOSUM","KS",NA,"",0.2,"","","","Benchmark_MOSUM","RSMS MOSUM (h=0.2)","rsms_mosum_h_0_2",0.05,1117.43033485322,37.640838161957,TRUE,44,2,"2",4,50,2019-10-21,2019-12-31,2020-01-02,2020-05-26,2020-03-05,-7,-11,29.686648582193,"RSMS, KS, gamma=NA"
